Reference, Quantity, Value, Footprint, Datasheet
C101 ,1,"22p","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~"
C201 C205 C602 ,3,"100n","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
C202 C206 C403 ,3,"1µ","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
C203 C204 C302 C304 C303 C401 C402 C502 C501 C503 C504 C603 C605 C606 C604 C701 C702 C703 C704 ,19,"100n","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~"
C301 ,1,"1n","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
C601 ,1,"4.7n","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
C705 C706 ,2,"33n","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
CP301 CP401 ,2,"47µ","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
D202 D204 D201 D203 D206 D208 D205 D207 D601 ,9,"1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
D702 D701 ,2,"LED_W","LED_THT:LED_D5.0mm_Horizontal_O1.27mm_Z9.0mm","~"
D703 D704 ,2,"LED_BLUE","LED_THT:LED_D5.0mm","~"
H101 H102 H103 H104 ,4,"MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
J101 ,1,"Conn_01x05_Male","Connector_JST:JST_EH_B5B-EH-A_1x05_P2.50mm_Vertical","~"
LDR702 LDR701 ,2,"100..1M","OptoDevice:R_LDR_5.2x5.2mm_P3.5mm_Horizontal","~"
Q301 Q302 Q303 Q401 Q402 ,5,"2N3904","Package_TO_SOT_THT:TO-92_Inline","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf"
Q601 ,1,"J112","Package_TO_SOT_THT:TO-92_Inline","~"
R201 R208 R405 R603 R709 ,5,"10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R202 R205 R206 R209 R212 R213 R308 R305 R315 R301 R313 R316 R307 R406 R401 R502 R501 R505 R506 R508 R601 R604 R703 R702 R704 R705 R701 ,27,"100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R203 R210 R706 R707 ,4,"470","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R204 R211 R306 R403 R509 R708 ,6,"100","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R207 R214 R605 R710 ,4,"2.2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R302 R304 ,2,"22k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R303 R602 ,2,"1M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R309 R311 R312 R310 ,4,"51k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R314 ,1,"1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R402 ,1,"4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R404 R507 ,2,"47k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R503 ,1,"30k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R504 ,1,"20k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R510 ,1,"150","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
RT301 RT302 ,2,"10k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~"
RT501 RT701 RT702 ,3,"100k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~"
RT502 ,1,"2k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~"
RV201 RV202 RV203 RV204 ,4,"1M","Potentiometer_THT:Potentiometer_Bourns_PTV09A-1_Single_Vertical","~"
RV302 RV301 RV703 RV701 RV702 ,5,"100k","Potentiometer_THT:Potentiometer_Bourns_PTV09A-1_Single_Vertical","~"
SW201 SW202 ,2,"SW_DPDT_x2","Button_Switch_THT:SW_CuK_JS202011CQN_DPDT_Straight",""
U201 U301 ,2,"TL074","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/ds/symlink/tl071.pdf"
U302 ,1,"LM358","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf"
U401 U502 U601 U602 U702 U701 ,6,"NE5532","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/ne5532.pdf"
U501 ,1,"LM13700","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/ds/symlink/lm13700.pdf"
