Reference, Quantity, Value, Footprint, Datasheet
C101 ,1,"100p","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~"
C102 ,1,"22n","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
C201 C205 ,2,"100n","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
C202 C206 ,2,"1µ","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
C203 C204 C302 C301 C303 C304 C402 C404 C403 ,9,"100n","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~"
C401 ,1,"1n","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
CP101 CP401 ,2,"47µ","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
D202 D204 D201 D203 D206 D208 D205 D207 ,8,"1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
H101 H102 H103 H104 ,4,"MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
J101 ,1,"Conn_01x05_Male","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Horizontal","~"
Q401 Q402 Q403 ,3,"2N3904","Package_TO_SOT_THT:TO-92_Inline","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf"
R101 R202 R205 R206 R209 R212 R213 R302 R301 R305 R306 R308 R408 R405 R415 R401 R413 R416 R407 ,19,"100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R201 R208 ,2,"10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R203 R210 ,2,"470","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R204 R211 R309 R406 ,4,"100","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R207 R214 ,2,"2.2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R303 ,1,"30k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R304 ,1,"20k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R307 ,1,"47k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R310 ,1,"150","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R402 R404 ,2,"22k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R403 ,1,"1M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R409 R411 R412 R410 ,4,"51k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R414 ,1,"1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
RT301 ,1,"100k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~"
RT302 ,1,"2k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~"
RT401 RT402 ,2,"10k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~"
RV101 RV402 RV401 ,3,"100k","Potentiometer_THT:Potentiometer_Bourns_PTV09A-1_Single_Vertical","~"
RV201 RV202 RV203 RV204 ,4,"1M","Potentiometer_THT:Potentiometer_Bourns_PTV09A-1_Single_Vertical","~"
SW101 ,1,"SW_SPDT","Button_Switch_THT:SW_E-Switch_EG1271_DPDT","~"
SW201 SW202 ,2,"SW_DPDT_x2","Button_Switch_THT:SW_E-Switch_EG1271_DPDT",""
U201 U401 ,2,"TL074","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/ds/symlink/tl071.pdf"
U301 ,1,"LM13700","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/ds/symlink/lm13700.pdf"
U302 ,1,"NE5532","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/ne5532.pdf"
U402 ,1,"LM358","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf"
