Reference, Quantity, Value, Footprint, Datasheet
C101 ,1,"10n","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
C201 C205 ,2,"100n","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
C202 C206 C303 ,3,"1µ","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
C203 C204 C301 C302 C401 C402 C403 C404 C502 C501 C503 C504 ,12,"100n","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~"
C405 C406 ,2,"33n","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
CP301 ,1,"47µ","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
D202 D204 D201 D203 D206 D208 D205 D207 ,8,"1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
D402 D401 ,2,"LED_W","LED_THT:LED_D5.0mm_Horizontal_O1.27mm_Z9.0mm","~"
D403 D404 ,2,"LED_BLUE","LED_THT:LED_D5.0mm","~"
H101 H102 H103 H104 ,4,"MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
J101 ,1,"Conn_01x05_Male","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Horizontal","~"
LDR402 LDR401 ,2,"100..1M","OptoDevice:R_LDR_5.2x5.2mm_P3.5mm_Horizontal","~"
Q301 Q302 ,2,"2N3904","Package_TO_SOT_THT:TO-92_Inline","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf"
R201 R208 R305 R409 ,4,"10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R202 R205 R206 R209 R212 R213 R306 R301 R403 R402 R404 R405 R401 R502 R501 R505 R506 R508 ,18,"100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R203 R210 R406 R407 ,4,"470","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R204 R211 R303 R408 R509 ,5,"100","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R207 R214 R410 ,3,"2.2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R302 ,1,"4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R304 R507 ,2,"47k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R503 ,1,"30k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R504 ,1,"20k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R510 ,1,"150","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
RT401 RT402 RT501 ,3,"100k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~"
RT502 ,1,"2k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~"
RV101 RV403 RV401 RV402 ,4,"100k","Potentiometer_THT:Potentiometer_Bourns_PTV09A-1_Single_Vertical","~"
RV201 RV202 RV203 RV204 ,4,"1M","Potentiometer_THT:Potentiometer_Bourns_PTV09A-1_Single_Vertical","~"
SW201 SW202 ,2,"SW_DPDT_x2","Button_Switch_THT:SW_CuK_JS202011CQN_DPDT_Straight",""
U201 ,1,"TL074","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/ds/symlink/tl071.pdf"
U301 U402 U401 U502 ,4,"NE5532","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/ne5532.pdf"
U501 ,1,"LM13700","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/ds/symlink/lm13700.pdf"
