Reference, Quantity, Value, Footprint, Datasheet
C101 C102 ,2,"100p","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~"
C201 C701 ,2,"1n","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
C202 C204 C203 C301 C302 C402 C401 C404 C405 C403 C406 C502 C504 C501 C503 C603 C604 C702 C704 C703 ,20,"100n","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~"
C601 C605 ,2,"100n","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
C602 C606 ,2,"1µ","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
CP201 CP701 ,2,"47µ","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
D602 D604 D601 D603 D606 D608 D605 D607 ,8,"1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
H101 H102 H103 H104 ,4,"MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
J101 ,1,"Conn_01x05_Male","Connector_JST:JST_EH_B5B-EH-A_1x05_P2.50mm_Vertical","~"
Q201 Q202 Q203 Q504 Q505 Q506 Q701 Q702 Q703 ,9,"2N3904","Package_TO_SOT_THT:TO-92_Inline","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf"
Q501 Q502 Q503 ,3,"2N3906","Package_TO_SOT_THT:TO-92_Inline","https://www.fairchildsemi.com/datasheets/2N/2N3906.pdf"
R202 R204 R508 R702 R704 ,5,"22k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R203 R703 ,2,"1M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R206 R306 R418 R419 R512 R604 R611 R706 ,8,"100","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R208 R205 R215 R201 R213 R216 R207 R301 R302 R305 R303 R404 R402 R410 R412 R416 R405 R403 R411 R413 R417 R401 R507 R602 R605 R606 R609 R612 R613 R708 R705 R715 R701 R713 R716 R707 ,36,"100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R209 R211 R212 R210 R304 R709 R711 R712 R710 ,9,"51k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R214 R714 ,2,"1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R406 R408 ,2,"30k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R407 R409 ,2,"20k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R414 R415 ,2,"47k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R420 R421 ,2,"150","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R504 R509 R505 R510 R506 R511 R601 R608 ,8,"10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R513 R501 R514 R502 R515 R503 ,6,"15k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R603 R610 ,2,"470","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R607 R614 ,2,"2.2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
RT201 RT202 RT701 RT702 ,4,"10k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~"
RT301 RT402 RT401 ,3,"100k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~"
RT403 RT404 ,2,"2k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~"
RV202 RV201 RV401 RV501 RV702 RV701 ,6,"100k","Potentiometer_THT:Potentiometer_Bourns_PTV09A-1_Single_Vertical","~"
RV301 ,1,"100k","Potentiometer_THT:Potentiometer_Alps_RK09L_Double_Vertical","~"
RV601 RV602 RV603 RV604 ,4,"1M","Potentiometer_THT:Potentiometer_Bourns_PTV09A-1_Single_Vertical","~"
SW601 SW602 ,2,"SW_DPDT_x2","Button_Switch_THT:SW_CuK_JS202011CQN_DPDT_Straight",""
U201 U601 U701 ,3,"TL074","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/ds/symlink/tl071.pdf"
U202 U702 ,2,"LM358","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf"
U301 U401 U403 U501 U502 ,5,"NE5532","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/ne5532.pdf"
U402 ,1,"LM13700","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/ds/symlink/lm13700.pdf"
