Reference, Quantity, Value, Footprint, Datasheet
C101 ,1,"100p","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~"
C201 C202 C301 C302 C303 C304 C402 C401 C403 C404 C502 C504 C503 C603 C604 C701 C702 ,17,"100n","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~"
C203 C602 C606 ,3,"1µ","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
C305 C306 ,2,"33n","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
C501 ,1,"1n","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
C601 C605 ,2,"100n","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
CP201 CP501 ,2,"47µ","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
D302 D301 ,2,"LED_W","LED_THT:LED_D5.0mm_Horizontal_O1.27mm_Z9.0mm","~"
D303 D304 ,2,"LED_BLUE","LED_THT:LED_D5.0mm","~"
D602 D604 D601 D603 D606 D608 D605 D607 ,8,"1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
H101 H102 H103 H104 ,4,"MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
J101 ,1,"Conn_01x05_Male","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Horizontal","~"
LDR302 LDR301 ,2,"100..1M","OptoDevice:R_LDR_5.2x5.2mm_P3.5mm_Horizontal","~"
Q201 Q202 Q501 Q502 Q503 ,5,"2N3904","Package_TO_SOT_THT:TO-92_Inline","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf"
R202 ,1,"4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R203 R308 R409 R506 R604 R611 R706 ,7,"100","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R204 R407 ,2,"47k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R205 R309 R601 R608 ,4,"10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R206 R201 R303 R302 R304 R305 R301 R402 R401 R405 R406 R408 R508 R505 R515 R501 R513 R516 R507 R602 R605 R606 R609 R612 R613 R701 R702 R705 R703 ,29,"100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R306 R307 R603 R610 ,4,"470","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R310 R607 R614 ,3,"2.2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R403 ,1,"30k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R404 ,1,"20k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R410 ,1,"150","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R502 R504 ,2,"22k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R503 ,1,"1M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R509 R511 R512 R510 R704 ,5,"51k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R514 ,1,"1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
RT301 RT302 RT401 RT701 ,4,"100k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~"
RT402 ,1,"2k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~"
RT501 RT502 ,2,"10k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~"
RV303 RV301 RV302 RV502 RV501 ,5,"100k","Potentiometer_THT:Potentiometer_Bourns_PTV09A-1_Single_Vertical","~"
RV601 RV602 RV603 RV604 ,4,"1M","Potentiometer_THT:Potentiometer_Bourns_PTV09A-1_Single_Vertical","~"
RV701 ,1,"100k","Potentiometer_THT:Potentiometer_Alps_RK09L_Double_Vertical","~"
SW601 SW602 ,2,"SW_DPDT_x2","Button_Switch_THT:SW_CuK_JS202011CQN_DPDT_Straight",""
U201 U302 U301 U402 U701 ,5,"NE5532","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/ne5532.pdf"
U401 ,1,"LM13700","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/ds/symlink/lm13700.pdf"
U501 U601 ,2,"TL074","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/ds/symlink/tl071.pdf"
U502 ,1,"LM358","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf"
